Player_Name,Player_Name_Std,Player_ID,Team,Pos,Age,GP,TOI,GAR,WAR,SPAR,G,A1,A2,Points
Austin Czarnik,AUSTIN.CZARNIK,8478512,DET,C,30,34,8.438235294117646,-1.1,-0.2,-0.3,0,1,0,1
Anthony Cirelli,ANTHONY.CIRELLI,8478519,T.B,C,26,79,18.526582278481012,8.0,1.3,2.5,20,13,12,45
Evan Rodrigues,EVAN.RODRIGUES,8478542,FLA,C,30,80,15.1675,8.0,1.3,2.5,12,14,13,39
Artemi Panarin,ARTEMI.PANARIN,8478550,NYR,L,31,82,20.11951219512195,17.6,2.9,5.6,49,37,34,120
Noel Acciari,NOEL.ACCIARI,8478569,PIT,C,31,55,12.97090909090909,2.0,0.3,0.6,4,1,2,7
Derek Ryan,DEREK.RYAN,8478585,EDM,C,36,70,10.192857142857143,-0.5,-0.1,-0.2,5,5,2,12
Kevin Stenlund,KEVIN.STENLUND,8478831,FLA,C,26,81,12.603703703703703,-6.6,-1.1,-2.1,11,3,1,15
William Borgen,WILLIAM.BORGEN,8478840,SEA,D,26,82,17.585365853658537,2.6,0.4,0.8,3,12,10,25
Alex Carrier,ALEX.CARRIER,8478851,NSH,D,26,73,18.8,5.7,0.9,1.8,4,7,9,20
Ryan Shea,RYAN.SHEA,8478854,PIT,D,26,31,12.625806451612902,-3.9,-0.6,-1.2,1,0,0,1
Conor Garland,CONOR.GARLAND,8478856,VAN,R,27,82,14.539024390243902,20.2,3.3,6.4,20,18,9,47
Niko Mikkola,NIKO.MIKKOLA,8478859,FLA,D,27,82,20.036585365853657,2.1,0.3,0.7,3,6,8,17
Kirill Kaprizov,KIRILL.KAPRIZOV,8478864,MIN,L,26,75,21.577333333333332,23.3,3.8,7.4,46,33,17,96
Troy Terry,TROY.TERRY,8478873,ANA,R,26,76,18.288157894736845,13.7,2.2,4.3,20,22,12,54
Vladislav Gavrikov,VLADISLAV.GAVRIKOV,8478882,L.A,D,27,77,20.61948051948052,8.9,1.5,2.8,6,5,12,23
Mason Appleton,MASON.APPLETON,8478891,WPG,C,27,82,16.047560975609755,-2.2,-0.4,-0.7,14,12,10,36
Steven Lorentz,STEVEN.LORENTZ,8478904,FLA,C,27,38,8.786842105263156,-2.6,-0.4,-0.8,1,1,1,3
Matt Roy,MATT.ROY,8478911,L.A,D,28,81,20.895061728395063,10.7,1.8,3.4,5,12,8,25
Jalen Chatfield,JALEN.CHATFIELD,8478970,CAR,D,27,72,15.197222222222223,11.0,1.8,3.5,8,4,10,22
Mason Marchment,MASON.MARCHMENT,8478975,DAL,L,28,81,15.059259259259258,11.0,1.8,3.5,22,18,13,53
Philippe Myers,PHILIPPE.MYERS,8479026,T.B,D,26,5,11.7,-1.7,-0.3,-0.6,0,0,0,0
Ryan Lomberg,RYAN.LOMBERG,8479066,FLA,L,28,75,9.54,-1.7,-0.3,-0.5,5,2,0,7
Kevin Rooney,KEVIN.ROONEY,8479291,CGY,C,30,33,11.215151515151517,2.2,0.4,0.7,3,0,1,4
Brandon Tanev,BRANDON.TANEV,8479293,SEA,L,31,66,14.587878787878788,0.4,0.1,0.1,7,6,3,16
Matthew Tkachuk,MATTHEW.TKACHUK,8479314,FLA,L,25,80,18.64,15.3,2.5,4.9,26,43,20,89
Joey Anderson,JOEY.ANDERSON,8479315,CHI,R,25,55,13.547272727272727,9.1,1.5,2.9,5,10,2,17
Luke Kunin,LUKE.KUNIN,8479316,S.J,C,25,77,15.74025974025974,-12.2,-2.0,-3.9,11,7,0,18
Auston Matthews,AUSTON.MATTHEWS,8479318,TOR,C,25,81,20.966666666666665,32.6,5.3,10.4,69,24,14,107
Maxime Lajoie,MAXIME.LAJOIE,8479320,TOR,D,25,7,12.714285714285714,-0.9,-0.1,-0.3,0,0,1,1
Lucas Johansen,LUCAS.JOHANSEN,8479321,WSH,D,25,6,14.266666666666666,-1.7,-0.3,-0.5,0,1,0,1
Adam Fox,ADAM.FOX,8479323,NYR,D,25,72,23.443055555555556,18.5,3.0,5.9,17,25,31,73
Ryan Lindgren,RYAN.LINDGREN,8479324,NYR,D,25,76,19.346052631578946,3.5,0.6,1.1,3,5,9,17
Charlie McAvoy,CHARLIE.MCAVOY,8479325,BOS,D,25,74,24.845945945945946,13.0,2.1,4.1,12,16,19,47
Julien Gauthier,JULIEN.GAUTHIER,8479328,NYI,R,25,27,10.170370370370371,-1.3,-0.2,-0.4,5,2,2,9
Brandon Gignac,BRANDON.GIGNAC,8479330,MTL,C,25,7,11.642857142857142,-1.1,-0.2,-0.4,1,0,0,1
Carl Grundstrom,CARL.GRUNDSTROM,8479336,L.A,R,25,50,10.937999999999999,-2.7,-0.4,-0.8,8,2,2,12
Alex Debrincat,ALEX.DEBRINCAT,8479337,DET,R,25,82,17.89268292682927,14.9,2.4,4.7,27,26,14,67
Patrik Laine,PATRIK.LAINE,8479339,CBJ,L,25,18,15.216666666666665,0.5,0.1,0.2,6,2,1,9
Clayton Keller,CLAYTON.KELLER,8479343,ARI,R,25,78,19.246153846153845,4.9,0.8,1.5,33,27,16,76
Jesse Puljujarvi,JESSE.PULJUJARVI,8479344,PIT,R,25,22,9.19090909090909,1.9,0.3,0.6,3,1,0,4
Jakob Chychrun,JAKOB.CHYCHRUN,8479345,OTT,D,25,82,22.390243902439025,8.9,1.5,2.8,14,11,16,41
Dillon Dube,DILLON.DUBE,8479346,CGY,C,25,43,11.162790697674419,-3.4,-0.6,-1.1,3,1,3,7
Sam Steel,SAM.STEEL,8479351,DAL,C,25,77,13.241558441558443,2.3,0.4,0.7,9,13,2,24
Brett Howden,BRETT.HOWDEN,8479353,VGK,C,25,72,13.227777777777778,-5.2,-0.9,-1.7,8,9,2,19
Beck Malenstyn,BECK.MALENSTYN,8479359,WSH,L,25,81,14.24320987654321,4.3,0.7,1.4,6,12,3,21
Riley Tufte,RILEY.TUFTE,8479362,COL,L,25,5,11.120000000000001,-0.8,-0.1,-0.3,1,0,1,2
Trent Frederic,TRENT.FREDERIC,8479365,BOS,C,25,82,13.75609756097561,5.6,0.9,1.8,18,14,8,40
William Lockwood,WILLIAM.LOCKWOOD,8479367,FLA,R,25,26,8.2,1.1,0.2,0.3,0,0,1,1
Max Jones,MAX.JONES,8479368,ANA,L,25,52,12.057692307692308,1.3,0.2,0.4,5,8,2,15
Andrew Peeke,ANDREW.PEEKE,8479369,BOS/CBJ,D,25,38,16.400000000000002,-0.1,0.0,0.0,1,6,3,10
Tyson Jost,TYSON.JOST,8479370,BUF,C,25,43,10.595348837209302,-2.5,-0.4,-0.8,3,2,1,6
Dante Fabbro,DANTE.FABBRO,8479371,NSH,D,25,56,16.35,3.8,0.6,1.2,3,6,4,13
Josh Mahura,JOSH.MAHURA,8479372,FLA,D,25,30,12.593333333333334,2.3,0.4,0.7,0,3,6,9
Logan Stanley,LOGAN.STANLEY,8479378,WPG,D,25,25,13.767999999999999,-1.2,-0.2,-0.4,1,0,1,2
Givani Smith,GIVANI.SMITH,8479379,S.J,R,25,36,7.808333333333334,-2.1,-0.4,-0.7,1,3,0,4
Boris Katchouk,BORIS.KATCHOUK,8479383,CHI/OTT,L,25,59,11.477966101694916,1.0,0.2,0.3,7,3,3,13
Jordan Kyrou,JORDAN.KYROU,8479385,STL,C,25,82,18.33170731707317,12.5,2.0,4.0,31,22,14,67
Taylor Raddysh,TAYLOR.RADDYSH,8479390,CHI,R,25,73,15.88219178082192,-7.6,-1.2,-2.4,5,4,5,14
Noah Gregor,NOAH.GREGOR,8479393,TOR,C,25,63,11.398412698412699,-6.8,-1.1,-2.2,6,5,1,12
Samuel Girard,SAMUEL.GIRARD,8479398,COL,D,25,59,19.38135593220339,4.9,0.8,1.6,3,9,6,18
Pierre-Luc Dubois,PIERRE-LUC.DUBOIS,8479400,L.A,C,25,82,15.704878048780488,-0.6,-0.1,-0.2,16,15,9,40
Jake Bean,JAKE.BEAN,8479402,CBJ,D,25,72,16.327777777777776,0.2,0.0,0.1,4,6,3,13
Jesper Bratt,JESPER.BRATT,8479407,N.J,L,25,82,19.307317073170733,23.6,3.9,7.5,27,36,20,83
Mikhail Sergachev,MIKHAIL.SERGACHEV,8479410,T.B,D,25,34,22.555882352941175,-1.7,-0.3,-0.5,2,9,8,19
Nathan Bastian,NATHAN.BASTIAN,8479414,N.J,R,25,54,10.162962962962963,-2.4,-0.4,-0.7,5,3,4,12
Michael McLeod,MICHAEL.MCLEOD,8479415,N.J,C,25,45,15.144444444444444,12.2,2.0,3.9,10,4,5,19
Tage Thompson,TAGE.THOMPSON,8479420,BUF,C,25,71,18.116901408450705,9.8,1.6,3.1,29,16,11,56
Jacob Moverare,JACOB.MOVERARE,8479421,L.A,D,25,24,10.445833333333333,-0.6,-0.1,-0.2,1,0,0,1
Alex Nylander,ALEX.NYLANDER,8479423,CBJ/PIT,L,25,28,16.25,0.5,0.1,0.2,11,2,2,15
Filip Hronek,FILIP.HRONEK,8479425,VAN,D,25,81,23.441975308641975,10.9,1.8,3.5,5,14,29,48
Jacob MacDonald,JACOB.MACDONALD,8479439,S.J,D,30,34,12.020588235294117,0.9,0.1,0.3,7,1,1,9
Troy Stecher,TROY.STECHER,8479442,ARI/EDM,D,29,54,18.118518518518517,2.6,0.4,0.8,1,3,3,7
Nikita Zaitsev,NIKITA.ZAITSEV,8479458,CHI,D,31,38,15.93157894736842,0.6,0.1,0.2,2,3,2,7
Rem Pitlick,REM.PITLICK,8479514,CHI,C,26,9,15.58888888888889,-2.3,-0.4,-0.7,0,0,0,0
Brandon Duhaime,BRANDON.DUHAIME,8479520,COL/MIN,R,26,80,10.86,2.6,0.4,0.8,5,7,1,13
Hardy Haman Aktell,HARDY.HAMAN AKTELL,8479522,WSH,D,25,6,10.633333333333333,-0.7,-0.1,-0.2,0,0,1,1
Ross Colton,ROSS.COLTON,8479525,COL,C,27,80,13.71875,0.3,0.0,0.1,17,14,9,40
Axel Jonsson-Fjallby,AXEL.JONSSON-FJALLBY,8479536,WPG,L,25,26,8.111538461538462,0.7,0.1,0.2,2,3,0,5
Brandon Hagel,BRANDON.HAGEL,8479542,T.B,L,25,82,19.25609756097561,21.2,3.5,6.7,26,38,11,75
Michael Pezzetta,MICHAEL.PEZZETTA,8479543,MTL,L,25,61,7.795081967213115,1.9,0.3,0.6,3,6,3,12
Oskar Steen,OSKAR.STEEN,8479546,BOS,C,25,34,9.070588235294117,0.7,0.1,0.2,1,0,0,1
Matthew Phillips,MATTHEW.PHILLIPS,8479547,PIT/WSH,R,25,31,10.183870967741935,0.1,0.0,0.0,1,3,1,5
Vincent Desharnais,VINCENT.DESHARNAIS,8479576,EDM,D,27,78,15.726923076923077,-0.8,-0.1,-0.2,1,0,10,11
Michael Eyssimont,MICHAEL.EYSSIMONT,8479591,T.B,C,27,81,11.860493827160495,5.9,1.0,1.9,11,7,7,25
Michael Carcone,MICHAEL.CARCONE,8479619,ARI,L,27,74,11.27027027027027,-0.6,-0.1,-0.2,21,4,4,29
Justin Brazeau,JUSTIN.BRAZEAU,8479638,BOS,R,25,19,11.11578947368421,4.2,0.7,1.3,5,1,1,7
Tanner Jeannot,TANNER.JEANNOT,8479661,T.B,L,26,55,12.018181818181818,-0.7,-0.1,-0.2,7,2,5,14
Mathieu Olivier,MATHIEU.OLIVIER,8479671,CBJ,R,26,54,11.281481481481482,-0.4,-0.1,-0.1,5,3,4,12
Trevor Moore,TREVOR.MOORE,8479675,L.A,L,28,82,17.979268292682928,14.5,2.4,4.6,31,14,12,57
Alex Barre-Boulet,ALEX.BARRE-BOULET,8479718,T.B,C,26,36,11.18888888888889,-4.6,-0.8,-1.5,6,2,1,9
Zack MacEwen,ZACK.MACEWEN,8479772,OTT,R,27,30,6.3933333333333335,0.6,0.1,0.2,2,1,0,3
Justin Danforth,JUSTIN.DANFORTH,8479941,CBJ,R,30,71,14.273239436619718,5.7,0.9,1.8,10,8,8,26
Vinni Lettieri,VINNI.LETTIERI,8479968,MIN,C,28,46,9.58695652173913,0.1,0.0,0.0,5,3,1,9
Mason Shaw,MASON.SHAW,8479972,MIN,C,24,20,8.184999999999999,1.2,0.2,0.4,1,2,0,3
Juuso Valimaki,JUUSO.VALIMAKI,8479976,ARI,D,24,68,19.094117647058823,13.2,2.2,4.2,2,6,9,17
Kailer Yamamoto,KAILER.YAMAMOTO,8479977,SEA,R,24,59,11.991525423728813,0.6,0.1,0.2,8,4,4,16
Nicolas Hague,NICOLAS.HAGUE,8479980,VGK,D,24,73,18.552054794520547,3.0,0.5,0.9,2,4,6,12
Jonah Gadjovich,JONAH.GADJOVICH,8479981,FLA,L,24,39,7.430769230769231,-1.1,-0.2,-0.3,2,2,0,4
Conor Timmins,CONOR.TIMMINS,8479982,TOR,D,24,25,16.02,4.6,0.8,1.5,1,5,4,10
Mario Ferraro,MARIO.FERRARO,8479983,S.J,D,24,78,22.869230769230768,5.9,1.0,1.9,3,9,9,21
Cal Foote,CAL.FOOTE,8479984,N.J,D,24,4,14.775,0.6,0.1,0.2,0,1,0,1
Morgan Geekie,MORGAN.GEEKIE,8479987,BOS,C,25,76,15.409210526315789,7.3,1.2,2.3,17,10,12,39
Michael Rasmussen,MICHAEL.RASMUSSEN,8479992,DET,C,24,75,15.190666666666665,2.0,0.3,0.6,13,14,6,33
Jaret Anderson-Dolan,JARET.ANDERSON-DOLAN,8479994,L.A/NSH,C,24,31,11.048387096774194,-1.8,-0.3,-0.6,1,3,0,4
Cody Glass,CODY.GLASS,8479996,NSH,C,24,41,13.431707317073172,-8.6,-1.4,-2.7,6,4,3,13
Mikey Anderson,MIKEY.ANDERSON,8479998,L.A,D,24,74,20.62702702702703,5.0,0.8,1.6,2,8,8,18
